symbol,media,acao,tamanho
BTC/USDT,67.5,LONG,0.001
MAGIC/USDT,62.5,LONG,899.2
AAVE/USDT,70.0,LONG,0.5
PNUT/USDT,67.5,LONG,30.0
LINK/USDT,60.0,LONG,10.75
BNB/USDT,70.0,LONG,0.22
BCH/USDT,70.0,LONG,0.299
ARB/USDT,66.5,LONG,444.9
NEAR/USDT,65.0,LONG,67.0
ETC/USDT,62.5,LONG,8.89
XLM/USDT,70.0,LONG,579.0
STRAX/USDT,0.0,SHORT,105.0
HBAR/USDT,62.5,LONG,936.0
CELO/USDT,80.0,LONG,490.1
REI/USDT,65.0,LONG,416.0
TRX/USDT,60.0,LONG,521.0
DUSK/USDT,68.5,LONG,2468.0
SYN/USDT,61.5,LONG,1327.0
CKB/USDT,66.0,LONG,39052.0
JUP/USDT,65.0,LONG,349.0
1MBABYDOGE/USDT,61.0,LONG,5860.0
BEL/USDT,62.5,LONG,602.0
DYDX/USDT,62.5,LONG,281.9
1INCH/USDT,61.5,LONG,735.0
PEOPLE/USDT,25.0,SHORT,386.0
BAKE/USDT,30.0,SHORT,1976.0
SUSHI/USDT,63.5,LONG,243.0
ICP/USDT,69.0,LONG,31.0
ZEC/USDT,60.0,LONG,3.37
SAGA/USDT,65.0,LONG,667.5
MDT/USDT,12.5,SHORT,2369.0
GTC/USDT,65.0,LONG,625.0
GLM/USDT,68.5,LONG,642.0
ALT/USDT,69.0,LONG,5634.0
