symbol,media,acao,tamanho
SEI/USDT,61.5,LONG,34.0
BCH/USDT,70.0,LONG,0.02
ADA/USDT,30.0,SHORT,17.0
NEAR/USDT,27.5,SHORT,4.0
LQTY/USDT,67.5,LONG,6.2
CRV/USDT,27.5,SHORT,19.3
STRAX/USDT,27.5,SHORT,7.0
ETC/USDT,27.5,SHORT,0.61
T/USDT,65.0,LONG,567.0
JTO/USDT,27.5,SHORT,5.0
SAND/USDT,25.0,SHORT,42.0
LEVER/USDT,30.0,SHORT,30940.0
MASK/USDT,27.5,SHORT,8.0
ENS/USDT,27.5,SHORT,0.5
COMP/USDT,28.5,SHORT,0.218
RUNE/USDT,25.0,SHORT,7.0
MDT/USDT,26.0,SHORT,157.0
STRK/USDT,30.0,SHORT,90.9
ARKM/USDT,30.0,SHORT,22.0
AXS/USDT,12.5,SHORT,4.0
SNX/USDT,25.0,SHORT,17.4
CHZ/USDT,25.0,SHORT,287.0
BEAMX/USDT,61.0,LONG,1859.0
MEME/USDT,25.0,SHORT,6761.0
