modelo,arquivo,total_predicoes,predicoes_positivas,lucro_total
deepseekr18b,resultados_trades_deepseekr18b.csv,18,6,-3.4309922467061194
falcon33b,resultados_trades_falcon33b.csv,16,6,-0.8104284374257107
llama323b,resultados_trades_llama323b.csv,18,7,-4.543212839408607
openchatlatest,resultados_trades_openchatlatest.csv,17,6,-4.70073991459739
orcamini3b,resultados_trades_orcamini3b.csv,18,7,-4.565653767188243
phi338b,resultados_trades_phi338b.csv,11,6,4.371998990869887
qwen34b,resultados_trades_qwen34b.csv,17,6,-5.421087801689511
deepseekr18b,resultados_trades_deepseekr18b.csv,15,6,0.6578382954607394
falcon33b,resultados_trades_falcon33b.csv,12,6,3.8014913944757662
llama323b,resultados_trades_llama323b.csv,15,5,-1.4033553348403212
openchatlatest,resultados_trades_openchatlatest.csv,15,6,1.4010776858931757
orcamini3b,resultados_trades_orcamini3b.csv,11,5,4.115768265010885
qwen34b,resultados_trades_qwen34b.csv,13,5,4.725678332995175
deepseekr18b,resultados_trades_deepseekr18b.csv,6,2,-2.216608826917678
falcon33b,resultados_trades_falcon33b.csv,8,2,-4.629512792072371
llama323b,resultados_trades_llama323b.csv,8,2,-4.292236348499055
openchatlatest,resultados_trades_openchatlatest.csv,6,2,-3.2600778235071024
orcamini3b,resultados_trades_orcamini3b.csv,8,2,-2.5888479361328116
qwen34b,resultados_trades_qwen34b.csv,8,2,-2.8636021618287266
deepseekr18b,resultados_trades_deepseekr18b.csv,15,7,20.550838747975497
falcon33b,resultados_trades_falcon33b.csv,13,5,19.680932883188706
llama323b,resultados_trades_llama323b.csv,15,7,20.80540547603012
openchatlatest,resultados_trades_openchatlatest.csv,16,6,17.277739713979315
orcamini3b,resultados_trades_orcamini3b.csv,15,7,18.455704561146156
qwen34b,resultados_trades_qwen34b.csv,17,8,18.703350815850353
deepseekr18b,resultados_trades_deepseekr18b.csv,17,6,15.455106613026347
falcon33b,resultados_trades_falcon33b.csv,18,8,18.325522332971037
llama323b,resultados_trades_llama323b.csv,13,6,24.82389782588265
openchatlatest,resultados_trades_openchatlatest.csv,15,8,23.948692155311214
orcamini3b,resultados_trades_orcamini3b.csv,15,8,21.36741845775119
qwen34b,resultados_trades_qwen34b.csv,14,6,12.913984804644416
deepseekr18b,resultados_trades_deepseekr18b.csv,14,6,3.456709574049267
falcon33b,resultados_trades_falcon33b.csv,13,4,0.5239422559872751
llama323b,resultados_trades_llama323b.csv,12,5,1.3141911752376316
openchatlatest,resultados_trades_openchatlatest.csv,12,5,0.11088343710117421
orcamini3b,resultados_trades_orcamini3b.csv,15,6,0.17049334862267562
qwen34b,resultados_trades_qwen34b.csv,11,6,7.109364016910877
deepseekr18b,resultados_trades_deepseekr18b.csv,7,2,-1.8948332022993317
falcon33b,resultados_trades_falcon33b.csv,8,3,-3.683215644751238
llama323b,resultados_trades_llama323b.csv,8,2,-3.3301795777671606
openchatlatest,resultados_trades_openchatlatest.csv,6,2,-2.3625446337029232
orcamini3b,resultados_trades_orcamini3b.csv,7,2,-2.0904380410090067
qwen34b,resultados_trades_qwen34b.csv,6,2,-1.6880768125504209
deepseekr18b,resultados_trades_deepseekr18b.csv,17,7,22.020175704122472
falcon33b,resultados_trades_falcon33b.csv,14,7,17.024597989228234
llama323b,resultados_trades_llama323b.csv,17,7,15.999525573972473
openchatlatest,resultados_trades_openchatlatest.csv,15,7,21.448301864831514
orcamini3b,resultados_trades_orcamini3b.csv,15,7,18.987885808058877
qwen34b,resultados_trades_qwen34b.csv,17,7,18.27294448261554
deepseekr18b,resultados_trades_deepseekr18b.csv,11,6,4.028734191218975
falcon33b,resultados_trades_falcon33b.csv,13,4,0.35647456706454217
llama323b,resultados_trades_llama323b.csv,13,5,-0.8920890476000993
openchatlatest,resultados_trades_openchatlatest.csv,10,5,6.045210535590378
orcamini3b,resultados_trades_orcamini3b.csv,15,6,0.6960837775816549
qwen34b,resultados_trades_qwen34b.csv,12,5,6.320763054962201
deepseekr18b,resultados_trades_deepseekr18b.csv,7,2,-1.8948332022993317
falcon33b,resultados_trades_falcon33b.csv,8,2,-3.2085009696142643
llama323b,resultados_trades_llama323b.csv,6,2,-3.1333973437576583
openchatlatest,resultados_trades_openchatlatest.csv,7,2,-0.5590041456928747
orcamini3b,resultados_trades_orcamini3b.csv,7,2,-2.040358331669933
qwen34b,resultados_trades_qwen34b.csv,7,2,-2.88168186883666
deepseekr18b,resultados_trades_deepseekr18b.csv,14,7,21.376741641539585
falcon33b,resultados_trades_falcon33b.csv,15,8,28.22889179983893
llama323b,resultados_trades_llama323b.csv,15,7,15.952448836663452
openchatlatest,resultados_trades_openchatlatest.csv,16,7,20.958817257564238
orcamini3b,resultados_trades_orcamini3b.csv,17,7,19.358485489823437
qwen34b,resultados_trades_qwen34b.csv,11,6,19.027093555901224
deepseekr18b,resultados_trades_deepseekr18b.csv,2,2,9.518599056167318
falcon33b,resultados_trades_falcon33b.csv,2,2,9.18965347175162
llama323b,resultados_trades_llama323b.csv,2,2,9.518599056167316
openchatlatest,resultados_trades_openchatlatest.csv,2,1,7.2598171100267885
